Order_ID,Order_Date,Customer_ID,Customer_Gender,Customer_Age,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Mode,Store_Location
O056,2024-05-21,C041,Male,63,Fruits,Apple,4,68,272,Card,Hyderabad
O057,2024-05-11,C038,Male,29,Fruits,Apple,3,91,273,Cash,Chennai
O058,2024-05-28,C002,Female,28,Beverages,Juice,1,130,130,Cash,Chennai
O059,2024-05-18,C052,Female,57,Dairy,Butter,3,22,66,Card,Bangalore
O060,2024-06-20,C034,Female,65,Vegetables,Tomato,5,63,315,Card,Chennai
O061,2024-02-16,C069,Male,43,Fruits,Banana,5,100,500,Card,Hyderabad
O062,2024-01-12,C068,Male,36,Dairy,Milk,5,69,345,UPI,Bangalore
O063,2024-01-24,C050,Female,35,Dairy,Butter,5,123,615,Cash,Bangalore
O064,2024-03-31,C044,Male,36,Beverages,Tea,1,147,147,UPI,Chennai
O065,2024-06-12,C032,Female,24,Dairy,Butter,1,77,77,UPI,Hyderabad
O066,2024-02-12,C076,Female,42,Beverages,Tea,2,24,48,UPI,Hyderabad
O067,2024-01-01,C030,Male,55,Fruits,Apple,1,81,81,UPI,Bangalore
O068,2024-02-19,C112,Female,65,Beverages,Tea,2,81,162,Card,Hyderabad
O069,2024-01-19,C073,Male,34,Beverages,Soft Drink,1,88,88,UPI,Bangalore
O070,2024-04-10,C002,Male,28,Snacks,Biscuits,2,50,100,Card,Chennai
O071,2024-05-03,C071,Male,46,Dairy,Butter,4,120,480,Card,Bangalore
O072,2024-06-18,C041,Male,22,Beverages,Juice,1,113,113,Cash,Chennai
O073,2024-03-17,C007,Female,64,Beverages,Soft Drink,1,89,89,Cash,Chennai
O074,2024-01-16,C048,Male,48,Dairy,Butter,5,35,175,Card,Bangalore
O075,2024-03-10,C114,Female,58,Fruits,Apple,2,33,66,UPI,Bangalore
O076,2024-01-18,C051,Male,33,Beverages,Soft Drink,5,37,185,Cash,Bangalore
O077,2024-06-21,C047,Female,48,Snacks,Namkeen,2,58,116,UPI,Bangalore
O078,2024-02-14,C067,Male,38,Dairy,Milk,1,123,123,Card,Chennai
O079,2024-01-03,C030,Male,46,Dairy,Milk,3,24,72,Card,Chennai
O080,2024-01-01,C025,Male,39,Dairy,Cheese,1,119,119,UPI,Bangalore
O081,2024-05-04,C027,Male,21,Snacks,Namkeen,4,53,212,UPI,Hyderabad
O082,2024-03-23,C001,Female,34,Fruits,Apple,2,133,266,Card,Hyderabad
O083,2024-01-03,C026,Female,21,Vegetables,Potato,1,134,134,UPI,Hyderabad
O084,2024-02-08,C097,Male,21,Snacks,Namkeen,5,26,130,UPI,Bangalore
O085,2024-02-22,C112,Male,62,Fruits,Orange,5,148,740,Card,Chennai
O086,2024-06-11,C017,Female,34,Beverages,Soft Drink,5,108,540,Cash,Hyderabad
O087,2024-06-23,C110,Female,51,Vegetables,Tomato,3,87,261,Cash,Bangalore
O088,2024-04-19,C003,Female,48,Snacks,Chips,2,137,274,UPI,Bangalore
O089,2024-05-25,C107,Female,45,Fruits,Apple,2,32,64,UPI,Chennai
O090,2024-03-21,C022,Female,49,Vegetables,Tomato,1,68,68,Cash,Chennai
O091,2024-03-18,C085,Female,18,Snacks,Biscuits,4,141,564,UPI,Bangalore
O092,2024-04-03,C100,Male,55,Dairy,Cheese,5,62,310,Cash,Bangalore
O093,2024-02-13,C115,Male,62,Beverages,Tea,2,78,156,Card,Chennai
O094,2024-04-27,C056,Male,55,Beverages,Juice,4,55,220,Card,Hyderabad
O095,2024-01-25,C025,Female,34,Beverages,Tea,2,91,182,UPI,Hyderabad
O096,2024-03-15,C103,Female,39,Beverages,Soft Drink,3,114,342,UPI,Bangalore
O097,2024-03-29,C049,Male,47,Dairy,Butter,1,84,84,UPI,Hyderabad
O098,2024-06-03,C024,Female,34,Dairy,Milk,5,41,205,UPI,Chennai
O099,2024-03-14,C071,Female,24,Beverages,Soft Drink,1,83,83,Card,Bangalore
O100,2024-02-27,C091,Female,27,Dairy,Milk,4,130,520,UPI,Bangalore
O101,2024-02-15,C115,Male,51,Vegetables,Tomato,4,145,580,Card,Hyderabad
O102,2024-01-22,C076,Female,62,Beverages,Tea,3,55,165,Cash,Chennai
O103,2024-05-12,C111,Male,37,Beverages,Soft Drink,3,146,438,Cash,Hyderabad
O104,2024-05-25,C023,Female,60,Fruits,Banana,4,145,580,UPI,Hyderabad
O105,2024-04-21,C065,Male,24,Vegetables,Tomato,5,128,640,Cash,Bangalore
O106,2024-04-15,C093,Male,51,Fruits,Apple,1,22,22,UPI,Hyderabad
O107,2024-05-16,C115,Female,39,Dairy,Milk,5,32,160,Card,Chennai
O108,2024-02-04,C112,Female,37,Beverages,Juice,1,97,97,UPI,Hyderabad
O109,2024-05-23,C083,Male,31,Vegetables,Onion,5,44,220,Cash,Hyderabad
O110,2024-06-02,C008,Female,24,Vegetables,Onion,1,119,119,UPI,Bangalore
O111,2024-02-01,C037,Female,25,Fruits,Orange,4,105,420,Cash,Hyderabad
O112,2024-04-08,C005,Female,49,Fruits,Orange,1,143,143,UPI,Hyderabad
O113,2024-04-09,C088,Female,61,Vegetables,Tomato,3,79,237,Cash,Chennai
O114,2024-05-13,C065,Male,62,Vegetables,Tomato,1,21,21,Card,Hyderabad
O115,2024-04-20,C043,Female,29,Beverages,Tea,2,39,78,Cash,Hyderabad
O116,2024-05-06,C007,Male,25,Vegetables,Onion,1,113,113,Cash,Chennai
O117,2024-03-21,C014,Female,25,Beverages,Tea,3,103,309,UPI,Hyderabad
O118,2024-06-09,C032,Female,60,Snacks,Chips,3,98,294,UPI,Hyderabad
O119,2024-04-13,C111,Male,33,Beverages,Juice,5,24,120,Card,Hyderabad
O120,2024-02-01,C082,Male,53,Fruits,Orange,5,93,465,UPI,Bangalore
O121,2024-05-19,C040,Male,43,Snacks,Biscuits,5,73,365,Card,Bangalore
O122,2024-02-10,C113,Male,33,Snacks,Chips,5,80,400,Cash,Hyderabad
O123,2024-05-25,C046,Male,21,Vegetables,Tomato,4,37,148,Cash,Bangalore
O124,2024-01-13,C022,Male,25,Fruits,Orange,1,49,49,Cash,Hyderabad
O125,2024-04-10,C059,Female,41,Dairy,Cheese,3,31,93,UPI,Chennai
O126,2024-02-26,C033,Female,48,Vegetables,Potato,1,140,140,Card,Chennai
O127,2024-01-18,C027,Male,26,Dairy,Cheese,5,88,440,Card,Hyderabad
O128,2024-02-26,C031,Female,55,Dairy,Butter,4,66,264,Card,Chennai
O129,2024-02-09,C058,Male,21,Dairy,Cheese,4,96,384,Card,Bangalore
O130,2024-01-28,C075,Male,49,Dairy,Milk,3,42,126,Cash,Chennai
O131,2024-04-18,C042,Male,45,Dairy,Butter,4,136,544,UPI,Chennai
O132,2024-02-02,C032,Female,41,Dairy,Milk,5,58,290,Cash,Chennai
O133,2024-02-01,C023,Female,28,Vegetables,Tomato,4,104,416,Card,Chennai
O134,2024-03-10,C022,Male,25,Beverages,Tea,4,110,440,Cash,Bangalore
O135,2024-05-31,C061,Female,62,Beverages,Soft Drink,3,133,399,Cash,Hyderabad
O136,2024-02-13,C004,Male,18,Snacks,Chips,4,105,420,Card,Chennai
O137,2024-04-09,C034,Female,39,Fruits,Banana,1,74,74,Cash,Bangalore
O138,2024-04-29,C037,Female,55,Snacks,Namkeen,1,50,50,Card,Chennai
O139,2024-04-01,C089,Male,60,Beverages,Tea,4,110,440,Card,Bangalore
O140,2024-06-25,C043,Male,59,Fruits,Banana,2,28,56,Card,Chennai
O141,2024-06-14,C041,Female,40,Fruits,Orange,1,30,30,Card,Chennai
O142,2024-04-14,C003,Female,25,Vegetables,Tomato,4,106,424,Cash,Chennai
O143,2024-05-11,C026,Male,58,Beverages,Tea,4,26,104,Card,Chennai
O144,2024-05-14,C102,Male,26,Fruits,Orange,5,115,575,Card,Bangalore
O145,2024-05-13,C083,Male,43,Beverages,Tea,4,138,552,UPI,Bangalore
O146,2024-02-12,C055,Male,30,Fruits,Apple,3,117,351,UPI,Hyderabad
O147,2024-02-26,C080,Female,30,Beverages,Tea,5,144,720,UPI,Chennai
O148,2024-02-27,C110,Male,59,Beverages,Soft Drink,3,116,348,Cash,Bangalore
O149,2024-01-31,C099,Female,38,Fruits,Orange,1,109,109,Cash,Chennai
O150,2024-02-06,C040,Female,33,Dairy,Butter,3,57,171,Cash,Hyderabad
O151,2024-02-28,C098,Male,44,Vegetables,Onion,1,48,48,Cash,Hyderabad
O152,2024-02-02,C115,Male,36,Beverages,Soft Drink,2,33,66,Cash,Hyderabad
O153,2024-06-16,C107,Female,46,Snacks,Namkeen,2,42,84,Card,Bangalore
O154,2024-02-08,C035,Female,39,Beverages,Tea,4,133,532,UPI,Hyderabad
O155,2024-06-18,C029,Male,49,Fruits,Banana,5,80,400,Card,Chennai
O156,2024-02-19,C114,Male,36,Fruits,Orange,1,74,74,UPI,Hyderabad
O157,2024-02-16,C025,Female,19,Vegetables,Tomato,2,59,118,Card,Chennai
O158,2024-02-23,C011,Female,19,Snacks,Chips,5,92,460,Card,Chennai
O159,2024-02-13,C025,Male,33,Dairy,Milk,1,33,33,Card,Hyderabad
O160,2024-03-30,C053,Female,21,Dairy,Butter,4,121,484,Card,Hyderabad
O161,2024-02-17,C044,Female,46,Beverages,Soft Drink,2,93,186,UPI,Hyderabad
O162,2024-05-31,C007,Female,18,Vegetables,Potato,2,40,80,UPI,Chennai
O163,2024-02-22,C104,Male,56,Vegetables,Onion,1,26,26,Card,Chennai
O164,2024-02-07,C091,Male,39,Beverages,Juice,2,79,158,Card,Hyderabad
O165,2024-03-09,C007,Female,53,Beverages,Juice,3,74,222,Cash,Hyderabad
O166,2024-02-21,C013,Male,25,Dairy,Butter,3,98,294,Cash,Hyderabad
O167,2024-04-20,C004,Male,51,Fruits,Banana,2,88,176,Cash,Chennai
O168,2024-04-16,C009,Male,21,Vegetables,Potato,3,123,369,Cash,Chennai
O169,2024-01-17,C011,Male,18,Dairy,Cheese,5,94,470,Card,Chennai
O170,2024-05-17,C083,Male,55,Beverages,Juice,2,111,222,UPI,Chennai
O171,2024-01-21,C083,Female,24,Snacks,Chips,4,107,428,UPI,Bangalore
O172,2024-02-03,C037,Female,38,Dairy,Milk,2,49,98,UPI,Hyderabad
O173,2024-03-07,C039,Male,22,Snacks,Namkeen,2,102,204,Cash,Hyderabad
O174,2024-05-28,C014,Female,36,Vegetables,Onion,1,98,98,Card,Chennai
O175,2024-06-06,C015,Male,53,Dairy,Cheese,2,122,244,UPI,Hyderabad
O176,2024-02-16,C029,Female,39,Snacks,Chips,4,100,400,Cash,Hyderabad
O177,2024-04-26,C048,Male,50,Dairy,Butter,5,82,410,UPI,Chennai
O178,2024-01-21,C055,Female,49,Vegetables,Tomato,4,127,508,Card,Chennai
O179,2024-05-16,C091,Female,50,Dairy,Milk,3,47,141,Cash,Hyderabad
O180,2024-01-13,C014,Male,21,Fruits,Banana,2,94,188,UPI,Bangalore
O181,2024-04-25,C032,Male,45,Vegetables,Potato,2,83,166,Cash,Bangalore
O182,2024-04-13,C118,Female,65,Beverages,Soft Drink,3,92,276,UPI,Chennai
O183,2024-02-04,C080,Male,28,Vegetables,Potato,4,69,276,Card,Bangalore
O184,2024-06-14,C057,Male,29,Fruits,Orange,5,43,215,UPI,Chennai
O185,2024-06-09,C088,Female,57,Beverages,Tea,2,87,174,UPI,Bangalore
O186,2024-06-06,C067,Female,22,Snacks,Namkeen,4,28,112,Card,Bangalore
O187,2024-06-10,C118,Female,43,Vegetables,Potato,3,68,204,Card,Chennai
O188,2024-01-25,C075,Male,40,Vegetables,Potato,4,126,504,Card,Hyderabad
O189,2024-02-23,C003,Male,60,Dairy,Milk,5,122,610,Card,Chennai
O190,2024-02-21,C043,Female,25,Beverages,Soft Drink,1,60,60,UPI,Chennai
O191,2024-03-24,C079,Female,56,Dairy,Butter,4,40,160,Cash,Chennai
O192,2024-03-05,C103,Male,23,Fruits,Apple,2,77,154,Card,Bangalore
O193,2024-03-17,C023,Male,62,Dairy,Milk,1,81,81,UPI,Hyderabad
O194,2024-06-08,C027,Female,26,Vegetables,Onion,5,44,220,Cash,Hyderabad
O195,2024-02-08,C052,Male,29,Dairy,Cheese,5,95,475,Card,Bangalore
O196,2024-01-11,C014,Female,41,Beverages,Tea,3,40,120,Cash,Chennai
O197,2024-04-05,C068,Male,19,Vegetables,Onion,5,77,385,UPI,Hyderabad
O198,2024-03-13,C032,Male,53,Dairy,Milk,4,134,536,UPI,Hyderabad
O199,2024-03-19,C029,Female,50,Beverages,Soft Drink,2,40,80,UPI,Hyderabad
O200,2024-04-28,C081,Male,63,Dairy,Cheese,5,113,565,Card,Bangalore
O201,2024-06-08,C102,Male,61,Snacks,Biscuits,2,39,78,Cash,Hyderabad
O202,2024-01-13,C067,Male,20,Snacks,Biscuits,2,39,78,UPI,Hyderabad
O203,2024-01-19,C091,Female,35,Vegetables,Potato,4,42,168,Cash,Chennai
O204,2024-03-04,C055,Female,47,Fruits,Banana,1,39,39,UPI,Hyderabad
O205,2024-04-11,C024,Male,64,Fruits,Banana,3,126,378,Card,Bangalore
O206,2024-05-06,C089,Female,43,Vegetables,Onion,4,25,100,Cash,Hyderabad
O207,2024-06-22,C032,Female,51,Dairy,Cheese,2,138,276,UPI,Bangalore
O208,2024-01-05,C038,Male,32,Dairy,Butter,1,149,149,Card,Bangalore
O209,2024-06-27,C086,Female,30,Vegetables,Onion,1,139,139,UPI,Chennai
O210,2024-05-05,C065,Female,53,Dairy,Milk,5,29,145,Card,Chennai
O211,2024-05-11,C041,Female,52,Beverages,Tea,1,89,89,Card,Bangalore
O212,2024-03-17,C115,Female,37,Snacks,Biscuits,1,113,113,Cash,Bangalore
O213,2024-05-28,C014,Male,47,Beverages,Tea,5,98,490,Card,Bangalore
O214,2024-06-01,C039,Female,34,Fruits,Orange,2,122,244,UPI,Hyderabad
O215,2024-05-15,C011,Male,50,Vegetables,Tomato,4,22,88,Cash,Hyderabad
O216,2024-04-07,C050,Male,47,Fruits,Orange,4,61,244,Cash,Hyderabad
O217,2024-06-25,C011,Male,19,Snacks,Biscuits,5,150,750,UPI,Chennai
O218,2024-03-05,C026,Female,57,Beverages,Juice,4,67,268,UPI,Chennai
O219,2024-04-13,C105,Female,51,Vegetables,Potato,5,140,700,Card,Hyderabad
O220,2024-03-20,C019,Male,36,Beverages,Tea,5,50,250,Cash,Chennai
O221,2024-05-03,C002,Female,20,Fruits,Apple,2,133,266,Card,Chennai
O222,2024-06-20,C073,Female,44,Snacks,Namkeen,3,30,90,Cash,Bangalore
O223,2024-02-01,C015,Female,22,Vegetables,Tomato,2,40,80,Cash,Hyderabad
O224,2024-03-14,C114,Female,47,Dairy,Milk,2,103,206,Card,Hyderabad
O225,2024-01-03,C108,Male,36,Beverages,Tea,3,61,183,UPI,Hyderabad
O226,2024-06-17,C003,Male,45,Snacks,Chips,5,41,205,Card,Chennai
O227,2024-02-08,C010,Female,62,Vegetables,Onion,3,35,105,Card,Bangalore
O228,2024-03-29,C036,Male,56,Vegetables,Potato,1,63,63,UPI,Chennai
O229,2024-05-06,C082,Female,28,Beverages,Soft Drink,4,42,168,Cash,Chennai
O230,2024-04-22,C108,Female,50,Fruits,Orange,4,135,540,Cash,Hyderabad
O231,2024-05-13,C052,Female,64,Vegetables,Onion,5,45,225,Cash,Bangalore
O232,2024-02-01,C099,Male,36,Snacks,Biscuits,4,42,168,Card,Chennai
O233,2024-01-22,C061,Female,36,Snacks,Biscuits,1,72,72,Cash,Chennai
O234,2024-03-06,C057,Male,49,Beverages,Soft Drink,4,45,180,UPI,Chennai
O235,2024-04-25,C067,Male,28,Snacks,Chips,4,44,176,Cash,Bangalore
O236,2024-03-17,C095,Male,37,Vegetables,Onion,1,42,42,UPI,Bangalore
O237,2024-03-16,C117,Male,18,Snacks,Biscuits,3,109,327,UPI,Bangalore
O238,2024-05-12,C018,Female,53,Vegetables,Tomato,5,37,185,Cash,Chennai
O239,2024-04-05,C025,Female,42,Fruits,Banana,2,26,52,Card,Hyderabad
O240,2024-06-17,C077,Female,57,Vegetables,Tomato,2,78,156,Cash,Hyderabad
O241,2024-03-12,C035,Female,32,Beverages,Tea,4,20,80,Cash,Chennai
O242,2024-01-23,C098,Male,47,Fruits,Orange,2,105,210,UPI,Bangalore
O243,2024-06-24,C067,Male,64,Fruits,Banana,3,27,81,Cash,Chennai
O244,2024-01-12,C082,Male,22,Beverages,Tea,4,90,360,UPI,Chennai
O245,2024-05-05,C037,Female,24,Fruits,Banana,3,22,66,Cash,Hyderabad
O246,2024-05-23,C055,Female,20,Beverages,Soft Drink,1,135,135,Card,Bangalore
O247,2024-03-28,C064,Female,32,Beverages,Soft Drink,3,143,429,Card,Chennai
O248,2024-05-16,C021,Female,21,Beverages,Juice,5,128,640,Card,Chennai
O249,2024-05-11,C056,Male,54,Vegetables,Onion,3,28,84,Cash,Bangalore
O250,2024-04-02,C006,Female,34,Vegetables,Tomato,1,148,148,Card,Chennai
O251,2024-05-23,C018,Male,41,Fruits,Orange,2,66,132,UPI,Bangalore
O252,2024-04-28,C069,Male,36,Fruits,Orange,1,40,40,UPI,Bangalore
O253,2024-02-10,C053,Female,62,Dairy,Butter,4,84,336,Card,Bangalore
O254,2024-04-15,C058,Male,40,Fruits,Orange,4,22,88,UPI,Chennai
O255,2024-01-27,C094,Male,57,Beverages,Soft Drink,5,77,385,Cash,Chennai
O256,2024-05-26,C009,Male,37,Beverages,Juice,2,116,232,UPI,Bangalore
O257,2024-05-17,C104,Female,19,Dairy,Milk,1,100,100,UPI,Chennai
O258,2024-05-01,C025,Male,60,Vegetables,Tomato,2,45,90,Cash,Bangalore
O259,2024-04-23,C010,Female,50,Dairy,Butter,1,81,81,UPI,Bangalore
O260,2024-05-28,C096,Male,56,Fruits,Apple,2,75,150,Card,Chennai
O261,2024-03-10,C110,Male,41,Vegetables,Potato,2,81,162,UPI,Bangalore
O262,2024-04-14,C012,Male,22,Dairy,Milk,4,30,120,Cash,Bangalore
O263,2024-02-03,C050,Male,35,Dairy,Milk,2,90,180,Cash,Hyderabad
O264,2024-01-10,C042,Male,40,Fruits,Apple,2,58,116,Cash,Bangalore
O265,2024-04-06,C023,Male,38,Fruits,Orange,4,35,140,UPI,Chennai
O266,2024-03-01,C078,Female,44,Vegetables,Onion,2,25,50,Cash,Hyderabad
O267,2024-06-26,C035,Male,49,Vegetables,Potato,1,132,132,Cash,Hyderabad
O268,2024-03-02,C054,Female,62,Beverages,Soft Drink,2,82,164,Cash,Bangalore
O269,2024-01-01,C115,Male,27,Snacks,Chips,1,101,101,UPI,Bangalore
O270,2024-04-01,C065,Female,29,Dairy,Butter,1,133,133,Card,Chennai
O271,2024-04-19,C037,Male,61,Snacks,Namkeen,3,43,129,Cash,Bangalore
O272,2024-06-13,C016,Female,45,Vegetables,Tomato,1,85,85,UPI,Chennai
O273,2024-04-30,C053,Female,59,Vegetables,Potato,4,119,476,UPI,Bangalore
O274,2024-02-19,C004,Female,37,Vegetables,Onion,1,67,67,Card,Bangalore
O275,2024-05-02,C016,Female,41,Fruits,Orange,4,62,248,Card,Hyderabad
O276,2024-01-26,C064,Male,64,Beverages,Tea,2,23,46,Card,Hyderabad
O277,2024-04-14,C049,Female,55,Beverages,Juice,4,71,284,Card,Chennai
O278,2024-04-25,C107,Female,54,Dairy,Milk,3,94,282,Card,Chennai
O279,2024-03-23,C077,Male,27,Snacks,Chips,5,40,200,Card,Hyderabad
O280,2024-05-05,C109,Male,38,Fruits,Apple,5,22,110,Cash,Bangalore
O281,2024-05-06,C078,Female,22,Fruits,Apple,3,117,351,Cash,Bangalore
O282,2024-02-26,C004,Male,40,Beverages,Tea,3,87,261,UPI,Chennai
O283,2024-06-18,C092,Male,46,Beverages,Soft Drink,5,136,680,UPI,Chennai
O284,2024-04-02,C023,Male,52,Beverages,Tea,2,112,224,Cash,Bangalore
O285,2024-05-19,C031,Male,60,Snacks,Chips,4,145,580,Cash,Chennai
O286,2024-02-15,C111,Male,62,Snacks,Namkeen,5,111,555,UPI,Hyderabad
O287,2024-03-26,C115,Female,52,Beverages,Juice,1,114,114,UPI,Bangalore
O288,2024-02-18,C036,Female,24,Beverages,Tea,1,57,57,Card,Chennai
O289,2024-05-08,C018,Male,60,Dairy,Cheese,4,130,520,Card,Hyderabad
O290,2024-05-27,C106,Female,41,Beverages,Soft Drink,4,122,488,Cash,Chennai
O291,2024-03-12,C105,Male,18,Fruits,Orange,2,39,78,UPI,Chennai
O292,2024-01-10,C010,Male,21,Vegetables,Potato,3,111,333,Cash,Chennai
O293,2024-05-25,C092,Male,36,Dairy,Butter,1,52,52,UPI,Hyderabad
O294,2024-03-14,C011,Male,46,Vegetables,Tomato,5,96,480,Card,Hyderabad
O295,2024-06-06,C010,Female,54,Fruits,Banana,5,101,505,Card,Chennai
O296,2024-01-11,C044,Male,19,Dairy,Milk,1,49,49,Card,Hyderabad
O297,2024-05-20,C011,Male,37,Vegetables,Potato,5,98,490,Cash,Chennai
O298,2024-06-25,C120,Male,23,Vegetables,Onion,1,77,77,Cash,Chennai
O299,2024-02-04,C002,Female,56,Vegetables,Tomato,5,23,115,UPI,Bangalore
O300,2024-02-15,C030,Male,37,Vegetables,Potato,5,92,460,Cash,Hyderabad
